"id","year","title","artwork","artwork_large","artist","artist_search","download"
970304593,"2020","MBEP072/Spell - KATALEPSY","/artworks/artworks-000670641601-7c0snn-large.jpg","/artworks/artworks-000670641601-7c0snn-t500x500.jpg","KATALEPSY SOUND","KATALEPSY SOUND","http://s451072707.onlinehome.fr/MareeBass_Prod-128_Spell-KATALEPSYSOUND.zip"
945080869,"2019","MBLP045/High Life – REDWOOD","/artworks/artworks-000652011907-k3ozcj-large.jpg","/artworks/artworks-000652011907-k3ozcj-t500x500.jpg",,,"http://s451072707.onlinehome.fr/MareeBass_Prod-127_HighLife-REDWOODDUB.zip"
932235832,"2019","MBEP071/Erésus - MC JaZzZz","/artworks/artworks-000642886768-wtm9ej-large.jpg","/artworks/artworks-000642886768-wtm9ej-t500x500.jpg","MC JaZzZ","MC JaZzZ","http://s451072707.onlinehome.fr/MareeBass_Prod-126_Eresus-MCJAZZZZ.zip"
924147001,"2019","MBLP044/The Weight Of Things - DROP THE PULSE","/artworks/artworks-000637482832-wdu3ec-large.jpg","/artworks/artworks-000637482832-wdu3ec-t500x500.jpg","DROP THE PULSE","DROP THE PULSE","http://s451072707.onlinehome.fr/MareeBass_Prod-125_TheWeightOfThings-DROPTHEPULSE.zip"
910269685,"2019","MBEP070/Reggae Revolution - WU.D FEAT JOLLY STEWART","/artworks/artworks-000624213169-izfd18-large.jpg","/artworks/artworks-000624213169-izfd18-t500x500.jpg","WU.D FEAT JOLLY STEWART","WU.D FEAT JOLLY STEWART","http://s451072707.onlinehome.fr/MareeBass_Prod-124_ReggaeRevolution-WUDFEATJOLLYSTEWART.zip"
908581555,"2019","MBLP043/Da Inner Journey – DAWOOD SOUND SYSTEM","/artworks/artworks-000623084731-i27kei-large.jpg","/artworks/artworks-000623084731-i27kei-t500x500.jpg",,,"http://s451072707.onlinehome.fr/MareeBass_Prod-123_DaInnerJourney-DAWOODSOUNDSYSTEM.zip"
880667335,"2019","MBLP042/Sound Chemistry - LE LAB","/artworks/artworks-000605127898-hypnou-large.jpg","/artworks/artworks-000605127898-hypnou-t500x500.jpg","LE LAB","LE LAB","http://s451072707.onlinehome.fr/MareeBass_Prod-122_SoundChemistry-LELAB.zip"
863724975,"2019","MBEP069/Kantic - Semiah the Dub Alchemist","/artworks/artworks-000594230352-gnqts9-large.jpg","/artworks/artworks-000594230352-gnqts9-t500x500.jpg","Semiah the Dub Alchemist","Semiah the Dub Alchemist","http://s451072707.onlinehome.fr/MareeBass_Prod-120_Kantic-SEMIAHTHEDUBALCHEMIST.zip"
868101329,"2019","MBEP068/Forgotten Tales of Dub - LE CHAUDRON MAGIQUE","/artworks/artworks-000597064889-e651v0-large.jpg","/artworks/artworks-000597064889-e651v0-t500x500.jpg","LE CHAUDRON MAGIQUE","LE CHAUDRON MAGIQUE","http://chaudronmagique.org/download/MareeBass_Prod-121_ForgottenTalesOfDub-LECHAUDRONMAGIQUE.zip"
834643955,"2019","Marée BASS Compilation # 6","/artworks/artworks-000573579221-nl2ahd-large.jpg","/artworks/artworks-000573579221-nl2ahd-t500x500.jpg",,,"https://mareebass-prod.bandcamp.com/album/mar-e-bass-compilation-6"
818116788,"2019","MBEP067/Children Of Ixchel - BEASTY LIV","/artworks/artworks-000561496728-v5s7oz-large.jpg","/artworks/artworks-000561496728-v5s7oz-t500x500.jpg","BEASTY LIV","BEASTY LIV","http://s451072707.onlinehome.fr/MareeBass_Prod-119_ChildrenOfIxchel-BEASTYLIV.zip"
801439740,"2019","MBEP066/B-Cerro Steppers - CARACAS DUB","/artworks/artworks-000550303524-ljv76c-large.jpg","/artworks/artworks-000550303524-ljv76c-t500x500.jpg","CARACAS DUB","CARACAS DUB","http://s451072707.onlinehome.fr/MareeBass_Prod-118_BCerroSteppers-CARACASDUB.zip"
790929717,"2019","MBLP041/Into The Future - PHONIANDFLORE","/artworks/artworks-000542759400-f6uy20-large.jpg","/artworks/artworks-000542759400-f6uy20-t500x500.jpg","PHONIANDFLORE","PHONIANDFLORE","http://s451072707.onlinehome.fr/MareeBass_Prod-117_IntoTheFuture-PHONIANDFLORE.zip"
782220066,"2019","MBEP065/Bass Reconciliation - THE BIOLOGISTS","/artworks/artworks-000537215520-8uwj2i-large.jpg","/artworks/artworks-000537215520-8uwj2i-t500x500.jpg","THE BIOLOGISTS","THE BIOLOGISTS","http://s451072707.onlinehome.fr/MareeBass_Prod-116_BassReconciliation-THEBIOLOGISTS.zip"
752020443,"2019","MBLP040/Back to Roots - TOKIBOUN IN DUB","/artworks/artworks-000519111270-bbk1m1-large.jpg","/artworks/artworks-000519111270-bbk1m1-t500x500.jpg","TOKIBOUN IN DUB","TOKIBOUN IN DUB","http://s451072707.onlinehome.fr/MareeBass_Prod-115_BacktoRoots-TOKIBOUN.zip"
739131447,"2019","MBLP039/Tales from the Moon - MOONY","/artworks/artworks-000511075755-ermzh3-large.jpg","/artworks/artworks-000511075755-ermzh3-t500x500.jpg","MOONY","MOONY","http://s451072707.onlinehome.fr/MareeBass_Prod-114_TalesFromTheMoon-MOONY.zip"
724769841,"2019","MBEP064/Unpublished Dub #2 - Phaz-M Machinist","/artworks/artworks-000500814816-vrw6kv-large.jpg","/artworks/artworks-000500814816-vrw6kv-t500x500.jpg","Phaz-M Machinist","Phaz-M Machinist","http://s451072707.onlinehome.fr/MareeBass_Prod-113_UnpublishedDub2-PHAZ-MMACHINIST.zip"
717442245,"2019","MBEP063/KER3L - SIMBA KHAN","/artworks/artworks-000495082605-iareyb-large.jpg","/artworks/artworks-000495082605-iareyb-t500x500.jpg","SIMBA KHAN","SIMBA KHAN","http://s451072707.onlinehome.fr/MareeBass_Prod-112_KER3L-SIMBAKHAN.zip"
714029379,"2019","MBEP062/Among The Stars - WINSTON DUB PROJECT","/artworks/artworks-000492607566-b0f6lo-large.jpg","/artworks/artworks-000492607566-b0f6lo-t500x500.jpg","WINSTON DUB PROJECT","WINSTON DUB PROJECT","http://s451072707.onlinehome.fr/MareeBass_Prod-111_AmongTheStars-WINSTONDUBPROJECT.zip"
709428771,"2019","MBEP061/The dub adventures of Don Alduck - DON ALDUCK","/artworks/artworks-000489368202-t0981n-large.jpg","/artworks/artworks-000489368202-t0981n-t500x500.jpg","DON ALDUCK","DON ALDUCK","http://www.mareebass.fr/don-alduck"
698325687,"2019","MBEP060/Winter Is Dubbing - ARTK","/artworks/artworks-000480846861-euw20s-large.jpg","/artworks/artworks-000480846861-euw20s-t500x500.jpg","ARTK","ARTK","http://s451072707.onlinehome.fr/MareeBass_Prod-109_WinterisDubbing-ARTK.zip"
688424673,"2019","MBEP059/Feral - UKA DUB","/artworks/artworks-000473815527-jxrvdb-large.jpg","/artworks/artworks-000473815527-jxrvdb-t500x500.jpg","UKA DUB","UKA DUB","http://s451072707.onlinehome.fr/MareeBass_Prod-108_Feral-UKADUB.zip"
674087775,"2018","MBEP058/The Unknow Mask - STORM DUB","/artworks/artworks-000464741457-ztf7sc-large.jpg","/artworks/artworks-000464741457-ztf7sc-t500x500.jpg","STORM DUB","STORM DUB","http://s451072707.onlinehome.fr/MareeBass_Prod-107_TheUnknowMask-STORMDUB.zip"
663286314,"2018","MBEP057/Cosmic Dub - KARA'BASSE SOUND SYSTEM","/artworks/artworks-000457816500-69ckx4-large.jpg","/artworks/artworks-000457816500-69ckx4-t500x500.jpg","KARA'BASSE SOUND SYSTEM","KARA'BASSE SOUND SYSTEM","http://s451072707.onlinehome.fr/MareeBass_Prod-106_CosmicDub-KARABASSESOUND.zip"
645338514,"2018","MBEP056/In Sub Ordination - ISO Dub","/artworks/artworks-000441074070-zhltix-large.jpg","/artworks/artworks-000441074070-zhltix-t500x500.jpg","ISO Dub","ISO Dub","http://s451072707.onlinehome.fr/MareeBass_Prod-104_InSubOrdination-ISODUB.zip"
656621160,"2018","MBLP038/Mental Distortion - MOUNE","/artworks/artworks-000452442753-j58qih-large.jpg","/artworks/artworks-000452442753-j58qih-t500x500.jpg","MOUNE","MOUNE","http://s451072707.onlinehome.fr/MareeBass_Prod-105_MentalDistortion-MOUNE.zip"
637966503,"2018","MBEP055/Nausicaa - STEPPER SONS","/artworks/artworks-000434456166-znaro5-large.jpg","/artworks/artworks-000434456166-znaro5-t500x500.jpg","STEPPER SONS","STEPPER SONS","http://s451072707.onlinehome.fr/MareeBass_Prod-103_Nausicaa-STEPPERSONS.zip"
631000497,"2018","MPEP054/Strict - DU3NORMAL","/artworks/artworks-000428614005-nc90qn-large.jpg","/artworks/artworks-000428614005-nc90qn-t500x500.jpg","DU3NORMAL","DU3NORMAL","http://s451072707.onlinehome.fr/MareeBass_Prod-102_Strict-DU3NORMAL.zip"
621602856,"2018","MBEP053/Bass Reconcilement - THE BIOLOGISTS","/artworks/artworks-000419711988-nupt5x-large.jpg","/artworks/artworks-000419711988-nupt5x-t500x500.jpg","THE BIOLOGISTS","THE BIOLOGISTS","http://s451072707.onlinehome.fr/MareeBass_Prod-101_BassReconcilement-THEBIOLOGISTS.zip"
611146131,"2018","Marée BASS 100th Release","/artworks/artworks-000411240996-wjqazu-large.jpg","/artworks/artworks-000411240996-wjqazu-t500x500.jpg",,,"http://s451072707.onlinehome.fr/MareeBass_Prod-100_MareeBASS100thRELEASE.zip"
609796185,"2018","MBEP052/Supascoop Exploration - MAD SKANKER","/artworks/artworks-000410247183-c20faw-large.jpg","/artworks/artworks-000410247183-c20faw-t500x500.jpg","MAD SKANKER","MAD SKANKER","http://s451072707.onlinehome.fr/MareeBass_Prod-99_SupascoopExploration-MADSKANKER.zip"
548394132,"2018","MBMT007/Résurrection - MC' JaZzZ","/artworks/artworks-000365014008-llc6wk-large.jpg","/artworks/artworks-000365014008-llc6wk-t500x500.jpg","MC' JaZzZz","MC' JaZzZz","http://s451072707.onlinehome.fr/MareeBass_Prod-98_Resurrection-MCJAZZZZ.zip"
540353838,"2018","Turtle Tape","/artworks/artworks-000360612921-aezige-large.jpg","/artworks/artworks-000360612921-aezige-t500x500.jpg",,,
533189403,"2018","MBEP051/Origin - DRY LAN","/artworks/artworks-000356192895-wqn089-large.jpg","/artworks/artworks-000356192895-wqn089-t500x500.jpg","DRY LAND","DRY LAND","http://s451072707.onlinehome.fr/MareeBass_Prod-96_Origin-DRYLAND.zip"
516200922,"2018","MBEP050/Shadow - Gaelig-Astrolapite","/artworks/artworks-000346169715-wauqho-large.jpg","/artworks/artworks-000346169715-wauqho-t500x500.jpg","Gaelig-Astrolapitek","Gaelig-Astrolapitek","http://s451072707.onlinehome.fr/MareeBass_Prod-95_Shadow-GAELIG.zip"
507420807,"2018","MBEP049/Sub:versus - CULTURAL SOULJA","/artworks/artworks-000341364732-g7j5k2-large.jpg","/artworks/artworks-000341364732-g7j5k2-t500x500.jpg","CULTURAL SOULJA","CULTURAL SOULJA","http://s451072707.onlinehome.fr/MareeBass_Prod-94_Sub:versus-CULTURALSOULJA.zip"
493982232,"2018","MBEP048/Médicinale - DOCTEUR GANJAH","/artworks/artworks-000332566230-2042b2-large.jpg","/artworks/artworks-000332566230-2042b2-t500x500.jpg","DOCTEUR GANJAH","DOCTEUR GANJAH","http://mareebass.fr/documents/son/MareeBass_Prod-93_Medicinale-DOCTEURGANJAH.zip"
487065723,"2018","MBLP037/Rev-Earth - PHAZ-M DUB","/artworks/artworks-000327966798-jb2u3d-large.jpg","/artworks/artworks-000327966798-jb2u3d-t500x500.jpg","PHAZ-M DUB","PHAZ-M DUB","http://s451072707.onlinehome.fr/MareeBass_Prod-92_Rev-Earth-PHAZ-MDUB.zip"
473091147,"2018","MBEP047/Full And Wide - PROJET NOVA 6 ","/artworks/artworks-000317234658-i03qla-large.jpg","/artworks/artworks-000317234658-i03qla-t500x500.jpg","PROJET NOVA 6","PROJET NOVA 6","http://s451072707.onlinehome.fr/MareeBass_Prod-91_FullAndWide-PROJETNOVA6.zip"
456463707,"2018","MBEP046/The Mighty One - HYDROLIK","/artworks/artworks-000307225821-h6eqdr-large.jpg","/artworks/artworks-000307225821-h6eqdr-t500x500.jpg","HYDROLIK","HYDROLIK","http://s451072707.onlinehome.fr/MareeBass_Prod-90_TheMightyOne-HYDROLIK.zip"
448539318,"2018","MBEP045/Outbound Journey - DON ALDUCK","/artworks/artworks-000302221245-pxwzns-large.jpg","/artworks/artworks-000302221245-pxwzns-t500x500.jpg","DON ALDUCK","DON ALDUCK","http://s451072707.onlinehome.fr/MareeBass_Prod-89_OutboundJourney-DONALDUCK.zip"
445145865,"2018","MBEP044/Natural Skankers - NATURAL SKANKERS","/artworks/artworks-000300088452-fzrrrr-large.jpg","/artworks/artworks-000300088452-fzrrrr-t500x500.jpg","NATURAL SKANKERS","NATURAL SKANKERS","http://s451072707.onlinehome.fr/MareeBass_Prod-88_NATURALSKANKERS.zip"
436334520,"2018","MBEP043/The Shield - APOO STEPPA","/artworks/artworks-000293639148-jrolv1-large.jpg","/artworks/artworks-000293639148-jrolv1-t500x500.jpg","APOO STEPPA","APOO STEPPA","http://mareebass.fr/documents/son/MareeBass_Prod-87_TheShield-APOOSTEPPA.zip"
426841238,"2018","MBEP042/Low Tide - HIGHTAI","/artworks/artworks-000287659634-0riswa-large.jpg","/artworks/artworks-000287659634-0riswa-t500x500.jpg","HIGHTAI","HIGHTAI","http://mareebass.fr/documents/son/MareeBass_Prod-86_LowTide-HIGHTAI.zip"
409662506,"2017","MBLP036/Deep - PHONIANDFLORE","/artworks/artworks-000277671149-al5520-large.jpg","/artworks/artworks-000277671149-al5520-t500x500.jpg","PHONIANDFLORE","PHONIANDFLORE","http://mareebass.fr/documents/son/MareeBass_Prod-85_Deep-PHONIANDFLORE.zip"
397902494,"2017","MBLP035/Encens - MAKA BAOBAB","/artworks/artworks-000269801513-tkm4vs-large.jpg","/artworks/artworks-000269801513-tkm4vs-t500x500.jpg","MAKA BAOBAB","MAKA BAOBAB","http://mareebass.fr/documents/son/MareeBass_Prod-84_Encens-MAKABAOBAB.zip"
393282392,"2017","MBEP041/Da First Sample - DAWOOD SOUND SYSTEM","/artworks/artworks-000266923208-5ltdcm-large.jpg","/artworks/artworks-000266923208-5ltdcm-t500x500.jpg","DAWOOD SOUND SYSTEM","DAWOOD SOUND SYSTEM","http://mareebass.fr/documents/son/MareeBass_Prod-83_DaFirstSample-DAWOODSOUNDSYSTEM.zip"
387202829,"2017","MBEP040/Monkey Attack - RAFIK SOUND SYSTEM","/artworks/artworks-000263384213-27zljo-large.jpg","/artworks/artworks-000263384213-27zljo-t500x500.jpg","RAFIK SOUND SYSTEM","RAFIK SOUND SYSTEM","http://mareebass.fr/documents/son/MareeBass_Prod-82_MonkeyAttack-RAFIKSOUNDSYSTEM.zip"
366138022,"2017","MBEP039/New Cycle - METTA FREQUENCIES","/artworks/artworks-000257660387-l8d4h3-large.jpg","/artworks/artworks-000257660387-l8d4h3-t500x500.jpg","METTA FREQUENCIES","METTA FREQUENCIES","http://mareebass.fr/documents/son/MareeBass_Prod-81_NewCycle-METTAFREQUENCIES.zip"
357066504,"2017","Marée BASS Compilation #5...download & support on https://www.mareebass.fr","/artworks/artworks-000245306956-uopixk-large.jpg","/artworks/artworks-000245306956-uopixk-t500x500.jpg",,,"https://mareebass-prod.bandcamp.com/album/mar-e-bass-compilation-5"
347548201,"2017","MBLP034/Hidden Teardrops - Marc OFX","/artworks/artworks-000239663993-nwluqc-large.jpg","/artworks/artworks-000239663993-nwluqc-t500x500.jpg","Marc OFX","Marc OFX","http://mareebass.fr/documents/son/MareeBass_Prod-79_HiddenTeardrops-MarcOFX.zip"
345672969,"2017","MBEP038/Obsidian - ECOTONE","/artworks/artworks-000238529690-87xgsj-large.jpg","/artworks/artworks-000238529690-87xgsj-t500x500.jpg","ECOTONE","ECOTONE","http://mareebass.fr/documents/son/MareeBass_Prod-78_Obsidian-ECOTONE.zip"
337529123,"2017","MBLP033/Ancient Foresights & Future Roots - AYWAKE","/artworks/artworks-000233417410-rvnblw-large.jpg","/artworks/artworks-000233417410-rvnblw-t500x500.jpg","AYWAKEN","AYWAKEN","http://mareebass.fr/documents/son/MareeBass_Prod-77_AncientForesightshttp://bit.ly/2B3e4zTFutureRoots-AYWAKEN.zip"
336623127,"2017","MBEP037/One Thousand Layers - SUMAC DUB MEETS THE MAUCAL'S... https://www.mareebass.fr","/artworks/artworks-000233125401-ow7nya-large.jpg","/artworks/artworks-000233125401-ow7nya-t500x500.jpg","SUMAC DUB MEETS THE MAUCAL'S","SUMAC DUB MEETS THE MAUCAL'S","http://mareebass.fr/documents/son/MareeBass_Prod-76_OneThousandLayers-SUMACDUBhttp://bit.ly/2B3lHX1THEMAUCAL'S.zip"
331057192,"2017","MBEP036/City Of Sunlands - JOSEPH JOSSY JO","/artworks/artworks-000228808590-yqjuj5-large.jpg","/artworks/artworks-000228808590-yqjuj5-t500x500.jpg","JOSEPH JOSSY JO","JOSEPH JOSSY JO","http://mareebass.fr/documents/son/MareeBass_Prod-75_CityofSunlands-JOSEPHJOSSYJO.zip"
327696344,"2017","MBEP035/Insomniac Area - JAY DAM","/artworks/artworks-000225584100-vioo15-large.jpg","/artworks/artworks-000225584100-vioo15-t500x500.jpg","JAY DAM","JAY DAM","http://mareebass.fr/documents/son/MareeBass_Prod-74_InsomniacArea-JAYDAM.zip"
327034269,"2017","MBEP034/Synth Attack - LOBA","/artworks/artworks-000224986435-bhgjjf-large.jpg","/artworks/artworks-000224986435-bhgjjf-t500x500.jpg","LOBA","LOBA","http://mareebass.fr/documents/son/MareeBass_Prod-73_SynthAttack-LOBA.zip"
322562077,"2017","MBEP033/Inna Wild Style Part. 2 - NATURAL HIGH DUBS","/artworks/artworks-000222317856-11drmr-large.jpg","/artworks/artworks-000222317856-11drmr-t500x500.jpg","NATURAL HIGH DUBS","NATURAL HIGH DUBS","http://mareebass.fr/documents/son/MareeBass_Prod-72_InnaWildStylePart2-NATURALHIGHDUBS.zip"
320522870,"2017","MBLP032/Fall in Dub - DUBOLOG","/artworks/artworks-000221066854-olfpu6-large.jpg","/artworks/artworks-000221066854-olfpu6-t500x500.jpg","DUBOLOGY","DUBOLOGY","http://mareebass.fr/documents/son/MareeBass_Prod-71_FallinDub-DUBOLOGY.zip"
316271282,"2017","MBEP032/Promenade sur Handpans - BEREN RELAX'HANG","/artworks/artworks-000218184360-t2hwly-large.jpg","/artworks/artworks-000218184360-t2hwly-t500x500.jpg","BEREN RELAX'HANG","BEREN RELAX'HANG","http://mareebass.fr/documents/son/MareeBass_Prod-70_PromenadessurHandpans-BERENRELAXHANG.zip"
